disziplin;turnier_id;teilnehmer;teilnehmer_fuer_staerke;teilnehmer_offiziell_gerankt;avg_elo;name;jahr;kw;bec17type;datum;rang
BS;27;93;16;16;202.6;1. Living Sport Hungarian International 2025;2025;10;U17 IS;2025-03-07;14
BS;7;64;16;16;202.6;Luxembourg U17 2025;2025;43;U17 IS;2025-10-24;14
BS;22;64;16;16;201.4;Austrian U17 Open 2025;2025;18;U17 GP;2025-05-02;15
BS;18;64;16;16;192.5;Serbian U17 International - NOVI SAD 2025;2025;25;U17 GP;2025-06-20;16
BS;41;68;16;16;189.8;32. TEM MIRNA U17 International 2026;2026;35;U17 IS;2026-08-28;17
BS;33;64;16;16;188.4;VICTOR JOT U17 2026;2026;14;U17 GP;2026-04-03;18
BS;11;64;16;16;188.1;9th LI-NING Zagreb U17 Open 2025;2025;38;U17 IS;2025-09-19;19
BS;36;65;16;16;187.8;YONEX German U17 Open 2026;2026;23;U17 IC;2026-06-05;20
BS;2;79;16;16;186.4;YONEX German Ruhr U17 International 2025;2025;51;U17 IC;2025-12-17;21
BS;40;64;16;16;178.8;Spanish Open U17 2026;2026;5;U17 IC;2026-01-29;22
BS;20;64;16;16;172.7;YONEX Polish Masters U17 2025;2025;22;U17 IC;2025-05-30;23
BS;26;82;16;16;163.4;MALOW YONEX Polish U17 International 2025;2025;11;U17 GP;2025-03-13;24
BS;45;28;16;16;155.9;RSL Lithuanian U17 International 2026;2026;21;U17 IS;2026-05-22;25
BS;8;68;16;16;154.5;VICTOR DENMARK JUNIOR U17 2025;2025;42;U17 IS;2025-10-16;26
BS;15;64;16;16;154.3;VICTOR French U17 International 2025;2025;33;U17 IS;2025-08-15;27
BS;46;46;16;16;151.6;Swedish U17 International 2026;2026;15;U17 IS;2026-04-10;28
BS;43;34;16;16;147.9;FZ FORZA French U17 International 2026;2026;33;U17 IS;2026-08-14;29
BS;35;31;16;16;147.5;HEBAR U17 Bulgaria Open 2026;2026;27;U17 IC;2026-07-02;30
BS;1;76;16;16;140.7;BADMINTONPLANET Youth Tournament presented by VICTOR 2025;2025;52;U17 IC;2025-12-28;31
BS;29;64;16;16;136.4;Spanish U17 Open 2025;2025;5;U17 IC;2025-01-31;32
BS;24;64;16;14;136.4;VICTOR JOT U17 2025;2025;16;U17 GP;2025-04-18;32
BS;14;62;16;16;124.9;Danish Junior Cup U17 2025;2025;34;U17 IS;2025-08-22;33
BS;12;49;16;16;123.3;RSL Sigulda U17 Open 2025;2025;37;U17 IS;2025-09-12;34
BS;42;48;16;16;120.6;Danish Junior Cup U17 2026;2026;34;U17 IS;2026-08-21;35
BS;28;64;16;16;119.1;YONEX France U17 Open 2025;2025;7;U17 IC;2025-02-13;36
