disziplin;turnier_id;teilnehmer;teilnehmer_fuer_staerke;avg_elo;name;jahr;kw;bec17type;datum;rang
BS;41;68;16;1241.3;32. TEM MIRNA U17 International 2026;2026;35;U17 IS;2026-08-28;17
BS;13;64;16;1241.1;31. TEM MIRNA U17 International 2025;2025;35;U17 IS;2025-08-29;18
BS;2;79;16;1240.0;YONEX German Ruhr U17 International 2025;2025;51;U17 IC;2025-12-17;19
BS;40;64;16;1239.8;Spanish Open U17 2026;2026;5;U17 IC;2026-01-29;20
BS;25;64;16;1239.0;OLIVER Czech U17 International 2025;2025;14;U17 IC;2025-04-03;21
BS;20;64;16;1238.9;YONEX Polish Masters U17 2025;2025;22;U17 IC;2025-05-30;22
BS;39;64;16;1235.2;YONEX France U17 Open 2026;2026;8;U17 IC;2026-02-19;23
BS;23;64;16;1234.2;YONEX Bozner Cup U17 International 2025;2025;17;U17 IC;2025-04-25;24
BS;12;49;16;1233.5;RSL Sigulda U17 Open 2025;2025;37;U17 IS;2025-09-12;25
BS;36;65;16;1232.1;YONEX German U17 Open 2026;2026;23;U17 IC;2026-06-05;26
BS;43;34;16;1230.5;FZ FORZA French U17 International 2026;2026;33;U17 IS;2026-08-14;27
BS;21;54;16;1225.9;Bulgaria U17 International 2025;2025;19;U17 IS;2025-05-08;28
BS;37;64;16;1224.0;YONEX Bozner Cup U17 International 2026;2026;17;U17 IC;2026-04-24;29
BS;47;23;16;1222.9;Bulgaria U17 International 2026;2026;15;U17 IS;2026-04-07;30
BS;48;84;16;1222.7;2. LIVING SPORT Hungarian International U17 2026 powered by VICTOR;2026;9;U17 IS;2026-02-27;31
BS;31;64;16;1218.8;Adria U17 International 2026;2026;20;U17 GP;2026-05-15;32
BS;44;41;16;1218.5;Istanbul U17 Open 2026;2026;28;U17 IS;2026-07-10;33
BS;15;62;16;1217.8;VICTOR French U17 International 2025;2025;33;U17 IS;2025-08-15;34
BS;26;82;16;1217.7;MALOW YONEX Polish U17 International 2025;2025;11;U17 GP;2025-03-13;35
BS;38;64;16;1216.8;OLIVER Czech U17 International 2026;2026;13;U17 IC;2026-03-26;36
BS;46;45;16;1214.5;Swedish U17 International 2026;2026;15;U17 IS;2026-04-10;37
BS;45;28;16;1214.5;RSL Lithuanian U17 International 2026;2026;21;U17 IS;2026-05-22;37
BS;35;30;16;1213.3;HEBAR U17 Bulgaria Open 2026;2026;27;U17 IC;2026-07-02;38
BS;33;64;16;1212.2;VICTOR JOT U17 2026;2026;14;U17 GP;2026-04-03;39
